,1,2,3,4,5,6,7,8,9,10,11,12
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10,0.20721016874863027,0.0677423200462835,0.031005700804988195,0.13925438596491221,0.1379270544783011,0.12932825484764557,0.2767774699907664,0.21907572734158443,0.022688158166234373,0.020685708719896837,0.2647381108919571,0.36877541578396283
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
11,0.3872208829473787,0.19065128402764842,0.23862776992290222,0.1678208679593722,0.16441597414589113,0.2948407202216067,0.38579178208679593,0.41732785984419624,-0.031316868886712604,0.19339128740838143,0.32275306206930143,0.4436530547641659
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
12,0.2962719458445953,0.19448086894283367,0.19709047346249328,0.2606186518928902,0.2547322253000925,0.27135272391505083,0.33546860572483844,-0.019447343227441034,0.24594440191546996,0.12454038522414596,0.08850171670684497,0.285070738062191
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13,0.33876348406262946,0.17448641625903274,0.1712383712259414,0.16562788550323185,0.0988573407202218,0.2686403508771929,0.38665743305632505,0.29099244245620653,0.0844020087233977,0.12058343682275309,0.13367180461197553,0.11126938904716695
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
14,0.2710692283341856,0.27182213620644385,0.20634536937038314,0.1774584487534627,0.3331024930747923,0.3531855955678671,0.28399122807017546,0.1616973490789694,0.38472604932403215,0.22906469915016933,0.12314023425134542,0.29121922711666315
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
15,0.31246499622568,0.2877191447905515,0.22490860486279196,0.15743305632502322,0.17792012927054482,0.2737765466297322,0.3001500461680517,0.35474720740453397,0.19826657582801496,0.20319234421798527,0.13915065624467346,0.21195850683030174
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
16,0.3686536635254585,0.3214714762113963,0.2534262805588893,0.21491228070175442,0.3593605724838413,0.3033240997229916,0.4319021237303786,0.5025675730093658,0.33429616267234935,0.2652859960552269,0.15875276986388095,0.24288358049041822
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
17,0.1350719555847761,0.194221154680882,0.13520011164108767,0.04576408125577114,0.15137349953831963,0.2101223453370268,0.12638504155124655,-0.011497928322927696,0.25157306194518836,0.23673509143594618,0.2685124309055933,0.35599142864100125
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
18,0.5305841673363041,0.4719719977225245,0.20634812650255274,-0.006809787626962,0.4140697137580795,0.41164589104339805,0.5327793167128347,0.3967447720895528,0.4702427109351133,0.303211824579346,0.011249908685806304,0.31642194462707296
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
19,0.5366717802615238,0.32388439687135145,0.46826954020883527,0.35503231763619575,0.6013965835641737,0.5805632502308403,0.5418975069252078,0.2807214253014144,0.5104756267155348,0.553351839676626,0.5452553144860838,0.5819636204251589
